id,name,buildingId,floorId
14915,100-5011-clwa-100,10020,13395
14916,100-5011-clwb-100,10020,13395
14917,100-5011-clwc-100,10020,13395
14918,100-5011-clwd-100,10020,13395
14919,100-5011-clwe-100,10020,13395
14920,100-5011-clwf-100,10020,13395
14921,100-5011-clwg-100,10020,13395
14922,100-5011-clwH-100,10020,13395
14923,100-5011-clwI-100,10020,13395
14924,100-5011-clwj-100,10020,13395
14925,128-5021-clwa-128,10026,13396
14926,128-5021-clwb-128,10026,13396
14927,134-5021-clwa-134,10026,13396
14928,134-5021-clwb-134,10026,13396
14929,140-5021-clwa-140,10026,13396
14930,149-5021-clwa-149,10026,13396
14931,156-5021-clwa-156,10026,13396
14932,166-5021-clwa-166,10026,13396
14933,169-5021-clwa-169,10026,13396
14934,174-5021-clwa-174,10026,13396
14935,174-5021-clwb-174,10026,13396
14936,226-5022-clwa-226,10026,13397
14937,230-5022-clwa-230,10026,13397
14938,236-5022-clwa-236,10026,13397
14939,237-5022-clwa-237,10026,13397
14940,240-5022-clwa-240,10026,13397
14941,267-5022-clwa-267,10026,13397
14942,272-5022-clwa-272,10026,13397
14943,279-5022-clwa-279,10026,13397
14944,282-5022-clwa-282,10026,13397
14945,288-5022-clwa-288,10026,13397
14946,346-5023-clwa-346,10026,13398
14947,398-5023-clwa-398,10026,13398
14948,426-5024-clwa-426,10026,13399
14949,474-5024-clwa-474,10026,13399
14950,520-5025-clwa-520,10026,13400
14951,560-5025-clwa-560,10026,13400
14952,111-5061-clwa-111,10017,13401
14953,106-5121-clwa-106,10029,13248
14954,121-5121-clwa-121,10029,13248
14955,202-5121-clwa-202,10029,13248
14956,214a-5121-clwa-214a,10029,13248
14957,300-5121-clwa-300,10029,13248
14958,147-5151-clwa-147,10065,13249
14959,-104-5201b-clwa-104,10061,13402
14960,-129hall-5201b-clwa-129hall,10061,13402
14961,-160-5201a-clwa-160,10061,13402
14962,-175-5201a-clwa-175,10061,13402
14963,-184-5201a-clwa-184,10061,13402
14964,-212-5202b-clwa-212,10061,13250
14965,-229-5202b-clwa-229,10061,13250
14966,-311-5203b-clwa-311,10061,13403
14967,-329-5203b-clwa-329,10061,13403
14968,-369-5203b-clwa-369,10061,13403
14969,-371-5203a-clwa-371,10061,13403
14970,-383-5203a-clwa-383,10061,13403
14971,-471-5204a-clwa-471,10061,13251
14972,-480-5204a-clwa-480,10061,13251
14973,-486-5204a-clwa-486,10061,13251
14974,-489-5204a-clwa-489,10061,13251
14975,-571-5205a-clwa-571,10061,13252
14976,-585-5205a-clwa-585,10061,13252
14977,-586-5205a-clwa-586,10061,13252
14978,-602-5206b-clwa-602,10061,13253
14979,-609-5206b-clwa-609,10061,13253
14980,110-5351-clwa-110,12545,13404
14981,114-5351-clwa-114,12545,13404
14982,121-5351-clwa-121,12545,13404
14983,135-5351-clwa-135,12545,13404
14984,3125-0592-clwa-3125,10090,13405
14985,100b-6001-clwa-100b,10012,13406
14986,126-6001-clwa-126,10012,13406
14987,129hall-6001-clwa-129hall,10012,13406
14988,159hall-6001-clwa-159hall,10012,13406
14989,173-6001-clwa-173,10012,13406
14990,200-6002-clwa-200,10012,13407
14991,229hall-6002-clwa-229hall,10012,13407
14992,230-6002-clwa-230,10012,13407
14993,259hall-6002-clwa-259hall,10012,13407
14994,274-6002-clwa-274,10012,13407
14995,300-6003-clwa-300,10012,13408
14996,329hall-6003-clwa-329hall,10012,13408
14997,334-6003-clwa-334,10012,13408
14998,359hall-6003-clwa-359hall,10012,13408
14999,373-6003-clwa-373,10012,13408
15000,ste400-6004-clwa-ste400,10012,13409
15001,429hall-6004-clwa-429hall,10012,13409
15002,430-6004-clwa-430,10012,13409
15003,459hall-6004-clwa-459hall,10012,13409
15004,474-6004-clwa-474,10012,13409
15005,500e-6005-clwa-500e,10012,13410
15006,528-6005-clwa-528,10012,13410
15007,553-6005-clwa-553,10012,13410
15008,100-6011-clwa-100,10009,13257
15009,105-6011-clwa-105,10009,13257
15010,108-6011-clwa-108,10009,13257
15011,112-6011-clwa-112,10009,13257
15012,118-6011-clwa-118,10009,13257
15013,142-6011-clwa-142,10009,13257
15014,143-6011-clwa-143,10009,13257
15015,156-6011-clwa-156,10009,13257
15016,161a-6011-clwa-161a,10009,13257
15017,178-6011-clwa-178,10009,13257
15018,178-6011-clwb-178,10009,13257
15019,178-6011-clwc-178,10009,13257
15020,178-6011-clwd-178,10009,13257
15021,207a-6012-clwa-207a,10009,13411
15022,210-6012-clwa-210,10009,13411
15023,220-6012-clwa-220,10009,13411
15024,226-6012-clwa-226,10009,13411
15025,231-6012-clwa-231,10009,13411
15026,232-6012-clwa-232,10009,13411
15027,242-6012-clwa-242,10009,13411
15028,251-6012-clwa-251,10009,13411
15029,254-6012-clwa-254,10009,13411
15030,262-6012-clwa-262,10009,13411
15031,262-6012-clwb-262,10009,13411
15032,303-6013-clwa-303,10009,13412
15033,340-6013-clwa-340,10009,13412
15034,100-6101-clwa-100,10010,13413
15035,100-6101-clwb-100,10010,13413
15036,100-6101-clwc-100,10010,13413
15037,100-6101-clwd-100,10010,13413
15038,100-6101-clwe-100,10010,13413
15039,100-6101-clwf-100,10010,13413
15040,100-6101-clwg-100,10010,13413
15041,100-6101-clwh-100,10010,13413
15042,110-6101-clwa-110,10010,13413
15043,110-6101-clwb-110,10010,13413
15044,135b-6101-clwa-135b,10010,13413
15045,153-6101-clwa-153,10010,13413
15046,169-6101-clwa-169,10010,13413
15047,185-6101-clwa-185,10010,13413
15048,207hall-6102-clwa-207hall,10010,13414
15049,216hall-6102-clwa-216hall,10010,13414
15050,235-6102-clwa-235,10010,13414
15051,243-6102-clwa-243,10010,13414
15052,249hall-6102-clwa-249hall,10010,13414
15053,273-6102-clwa-273,10010,13414
15054,307hall-6103-clwa-307hall,10010,13415
15055,315hall-6103-clwa-315hall,10010,13415
15056,335-6103-clwa-335,10010,13415
15057,341-6103-clwa-341,10010,13415
15058,343-6103-clwa-343,10010,13415
15059,351hall-6103-clwa-351hall,10010,13415
15060,373hall-6103-clwa-373hall,10010,13415
15061,407hall-6104-clwa-407hall,10010,13416
15062,411hall-6104-clwa-411hall,10010,13416
